brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Glucophage,جلوكوفاج,metformin,500 mg,film-coated tablet,50 tablets,Merck,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=5607
Glucophage,جلوكوفاج,metformin,850 mg,film-coated tablet,,Merck,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Glucophage,جلوكوفاج,metformin,1000 mg,film-coated tablet,,Merck,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Glucophage XR,جلوكوفاج اكس ار,metformin,500 mg,extended-release tablet,,Merck,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Glucophage XR,جلوكوفاج اكس ار,metformin,1000 mg,extended-release tablet,30 tablets,Merck,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=5609
Cidophage,سيدوفاج,metformin,500 mg,film-coated tablet,10 tablets,EIPICO,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=2286
Cidophage,سيدوفاج,metformin,850 mg,film-coated tablet,,EIPICO,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Cidophage,سيدوفاج,metformin,1000 mg,film-coated tablet,,EIPICO,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Amophage,اموفاج,metformin,500 mg,film-coated tablet,30 tablets,,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Diaphage,ديافاج,metformin,500 mg,film-coated tablet,,,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Diaphage,ديافاج,metformin,1000 mg,film-coated tablet,,,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,medium,
Metformin-Eva XR,ميتفورمين ايفا اكس ار,metformin,500 mg,extended-release tablet,30 tablets,Eva Pharma,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=8082
Metformin-Eva XR,ميتفورمين ايفا اكس ار,metformin,1000 mg,extended-release tablet,30 tablets,Eva Pharma,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=13130
Metformin El-Nasr,ميتفورمين النصر,metformin,500 mg,film-coated tablet,200 tablets,El Nasr Pharmaceutical,antidiabetic,biguanide,controls blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=22635
Amaryl,اماريل,glimepiride,1 mg,tablet,30 tablets,Sanofi,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,medium,
Amaryl,اماريل,glimepiride,2 mg,tablet,30 tablets,Sanofi,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,medium,
Amaryl,اماريل,glimepiride,3 mg,tablet,30 tablets,Sanofi,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,medium,
Amaryl,اماريل,glimepiride,4 mg,tablet,30 tablets,Sanofi,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=492
Amaryl M,اماريل ام,glimepiride;metformin,2/500 mg,film-coated tablet,30 tablets,Sanofi,antidiabetic,sulfonylurea + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=493
Glimepiride Plus,جليمبيريد بلس,glimepiride;pioglitazone,2/30 mg,tablet,20 tablets,,antidiabetic,sulfonylurea + thiazolidinedione,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/similars.php?id=19839
Glimepiride Plus,جليمبيريد بلس,glimepiride;pioglitazone,4/30 mg,tablet,30 tablets,,antidiabetic,sulfonylurea + thiazolidinedione,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=5562
Glaryl,جلاريل,glimepiride,2 mg,tablet,30 tablets,Global Napi Pharmaceuticals,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=5534
Glimitoid,جليميتويد,glimepiride,1 mg,tablet,30 tablets,Eva Pharma,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=19844
Diamicron MR,دياميكرون ام ار,gliclazide,30 mg,extended-release tablet,30 tablets,Servier,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=3598
Diamicron MR,دياميكرون ام ار,gliclazide,60 mg,extended-release tablet,30 tablets,Servier,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=17564
Diamicron,دياميكرون,gliclazide,80 mg,tablet,20 tablets,Servier,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=17566
Diamedizen,دياميدزين,gliclazide,30 mg,extended-release tablet,30 tablets,Medizen,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=3596
Diamedizen,دياميدزين,gliclazide,60 mg,extended-release tablet,30 tablets,Medizen,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=3597
Unocron MR,اونوكرون ام ار,gliclazide,60 mg,extended-release tablet,30 tablets,,antidiabetic,sulfonylurea,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=11942
Januvia,جانوفيا,sitagliptin,50 mg,film-coated tablet,28 tablets,MSD,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21141
Januvia,جانوفيا,sitagliptin,100 mg,film-coated tablet,28 tablets,MSD,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=6706
Janumet,جانوميت,sitagliptin;metformin,50/500 mg,film-coated tablet,56 tablets,MSD,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21138
Janumet,جانوميت,sitagliptin;metformin,50/850 mg,film-coated tablet,56 tablets,MSD,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=6702
Janumet,جانوميت,sitagliptin;metformin,50/1000 mg,film-coated tablet,56 tablets,MSD,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=6703
Janaglip,جاناجليب,sitagliptin,50 mg,film-coated tablet,28 tablets,,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21131
Galvus,جالفس,vildagliptin,50 mg,tablet,28 tablets,Novartis,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=5299
Galvus Met,جالفس ميت,vildagliptin;metformin,50/500 mg,film-coated tablet,30 tablets,Novartis,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/similars.php?id=5301
Galvus Met,جالفس ميت,vildagliptin;metformin,50/1000 mg,film-coated tablet,30 tablets,Novartis,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/similars.php?id=19546
Vildaglip,فيلداجليب,vildagliptin,50 mg,tablet,30 tablets,El-Obour Modern Pharm,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=29319
Vildagluse,فيلداجلوز,vildagliptin,50 mg,tablet,30 tablets,,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=29320
Trajenta,تراجنتا,linagliptin,5 mg,film-coated tablet,30 tablets,Boehringer Ingelheim,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=28383
Linatraje,ليناتراج,linagliptin,5 mg,film-coated tablet,21 tablets,,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=24136
Onglyza,اونجليزا,saxagliptin,5 mg,tablet,30 tablets,Bristol-Myers Squibb,antidiabetic,DPP-4 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=9267
Kombiglyze XR,كومبيجليز اكس ار,saxagliptin;metformin,5/1000 mg,extended-release tablet,30 tablets,AstraZeneca,antidiabetic,DPP-4 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21478
Jardiance,جارديانس,empagliflozin,10 mg,film-coated tablet,30 tablets,Boehringer Ingelheim,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21143
Jardiance,جارديانس,empagliflozin,25 mg,film-coated tablet,30 tablets,Boehringer Ingelheim,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=21144
Synjardy,سينجاردي,empagliflozin;metformin,5/1000 mg,film-coated tablet,60 tablets,Boehringer Ingelheim,antidiabetic,SGLT2 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=27816
Empagliform,امباجليفورم,empagliflozin;metformin,5/500 mg,film-coated tablet,30 tablets,,antidiabetic,SGLT2 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=18285
Forxiga,فورسيجا,dapagliflozin,5 mg,film-coated tablet,28 tablets,AstraZeneca,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=19362
Forxiga,فورسيجا,dapagliflozin,10 mg,film-coated tablet,28 tablets,AstraZeneca,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=19361
Xigduo,زيجدو,dapagliflozin;metformin,5/1000 mg,film-coated tablet,56 tablets,AstraZeneca,antidiabetic,SGLT2 inhibitor + biguanide,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=31631
Dapaglif,داباجليف,dapagliflozin,10 mg,film-coated tablet,14 tablets,,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=1599
Forflozin,فورفلوزين,dapagliflozin,5 mg,film-coated tablet,30 tablets,,antidiabetic,SGLT2 inhibitor,lowers blood sugar (diabetes),no,no,high,https://dwaprices.com/med.php?id=13384
Actos,اكتوس,pioglitazone,15 mg,tablet,30 tablets,Takeda,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=121
Actos,اكتوس,pioglitazone,30 mg,tablet,30 tablets,Takeda,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=122
Diabetin,ديابيتين,pioglitazone,15 mg,tablet,,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=3571
Diabetin,ديابيتين,pioglitazone,30 mg,tablet,30 tablets,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=3572
Hi-Glitazone,هاي جليتازون,pioglitazone,15 mg,tablet,30 tablets,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=6147
Hi-Glitazone,هاي جليتازون,pioglitazone,30 mg,tablet,30 tablets,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=6148
Actozone,اكتوزون,pioglitazone,30 mg,tablet,10 tablets,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=13442
Ensudyne,انسودين,pioglitazone,15 mg,tablet,7 tablets,,antidiabetic,thiazolidinedione,improves insulin sensitivity (diabetes),no,no,high,https://dwaprices.com/med.php?id=4200
Victoza,فيكتوزا,liraglutide,18 mg/3 mL,injection,2 pre-filled pens,Novo Nordisk,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/med.php?id=13019
Ozempic,اوزمبك,semaglutide,0.25 mg,injection,,Novo Nordisk,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/med.php?id=271
Ozempic,اوزمبك,semaglutide,0.5 mg,injection,,Novo Nordisk,antidiabetic,GLP-1 receptor agonist,"lowers blood sugar, weight loss",yes,no,high,https://dwaprices.com/indications.php?id=13327
