brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Amoxil,أموكسيل,amoxicillin,500 mg,capsule,,GSK,antibiotic,aminopenicillin,bacterial infections,no,no,medium,
Amoxil,أموكسيل,amoxicillin,250 mg/5 mL,powder for oral suspension,,GSK,antibiotic,aminopenicillin,bacterial infections,no,no,medium,
Hiconcil,هيكونسيل,amoxicillin,500 mg,capsule,,,antibiotic,aminopenicillin,bacterial infections,no,no,medium,
Hiconcil,هيكونسيل,amoxicillin,250 mg/5 mL,powder for oral suspension,,,antibiotic,aminopenicillin,bacterial infections,no,no,medium,
Flumox,فلوموكس,amoxicillin,500 mg,capsule,16 capsules,,antibiotic,aminopenicillin,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Flumox,فلوموكس,amoxicillin,1000 mg,film-coated tablet,15 tablets,,antibiotic,aminopenicillin,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
E-mox,اي موكس,amoxicillin,500 mg,capsule,16 capsules,,antibiotic,aminopenicillin,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Augmentin,أوجمنتين,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,14 tablets,GSK,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=1126
Augmentin,أوجمنتين,amoxicillin;clavulanic acid,500/125 mg,film-coated tablet,10 tablets,GSK,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/product/augmentin-625mg-10-f.c.-tab
Augmentin,أوجمنتين,amoxicillin;clavulanic acid,50/12.5 mg/mL,oral drops,20 mL,GSK,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=1136
Hibiotic,هاي بيوتك,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,16 tablets,Amoun,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=6097
Hibiotic,هاي بيوتك,amoxicillin;clavulanic acid,250/62.5 mg/5 mL,powder for oral suspension,60 mL,Amoun,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=6095
Hibiotic,هاي بيوتك,amoxicillin;clavulanic acid,400/57 mg/5 mL,powder for oral suspension,60 mL,Amoun,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,medium,
Curam,كيورام,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,12 tablets,Sandoz,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Curam,كيورام,amoxicillin;clavulanic acid,400/57 mg/5 mL,powder for oral suspension,70 mL,Sandoz,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Megamox,ميجاموكس,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,14 tablets,Al Jazeera Pharmaceutical,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Megamox,ميجاموكس,amoxicillin;clavulanic acid,500/125 mg,film-coated tablet,14 tablets,Al Jazeera Pharmaceutical,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Clavimox,كلافيموكس,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,12 tablets,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
E-moxclav,اي موكسكلاف,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,10 tablets,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
E-moxclav,اي موكسكلاف,amoxicillin;clavulanic acid,400/57 mg/5 mL,powder for oral suspension,70 mL,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Augram,اوجرام,amoxicillin;clavulanic acid,875/125 mg,film-coated tablet,14 tablets,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=26
Unictam,يونيكتام,ampicillin;sulbactam,1000/500 mg,injection,1 vial,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=11896
Unictam,يونيكتام,ampicillin;sulbactam,2000/1000 mg,injection,1 vial,,antibiotic,aminopenicillin + beta-lactamase inhibitor,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=28724
Floxapen,فلوكسابين,flucloxacillin,500 mg,capsule,,,antibiotic,penicillinase-resistant penicillin,bacterial infections,no,no,medium,
Floxapen,فلوكسابين,flucloxacillin,250 mg/5 mL,powder for oral suspension,,,antibiotic,penicillinase-resistant penicillin,bacterial infections,no,no,medium,
Retarpen,ريتاربين,benzathine penicillin,1.2 MIU,injection,1 vial with solvent,Sandoz,antibiotic,long-acting penicillin,strep throat infections,no,no,high,https://dwaprices.com/med.php?id=25940
Cephalexin,سيفالكسين,cefalexin,500 mg,capsule,12 capsules,,antibiotic,first-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=2359
Cephalexin,سيفالكسين,cefalexin,250 mg/5 mL,suspension,60 mL,,antibiotic,first-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/similars.php?id=2356
Zinnat,زينات,cefuroxime,250 mg,film-coated tablet,,GSK,antibiotic,second-generation cephalosporin,bacterial infections,no,no,medium,
Zinnat,زينات,cefuroxime,500 mg,film-coated tablet,,GSK,antibiotic,second-generation cephalosporin,bacterial infections,no,no,medium,
Zinnat,زينات,cefuroxime,125 mg/5 mL,powder for oral suspension,,GSK,antibiotic,second-generation cephalosporin,bacterial infections,no,no,medium,
Ximacef,زيماسيف,cefixime,400 mg,capsule,5 capsules,Sigma,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=12698
Ximacef,زيماسيف,cefixime,100 mg/5 mL,powder for oral suspension,60 mL,Sigma,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=12694
Hebixime,هيبيكسيم,cefixime,400 mg,capsule,5 capsules,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=20297
Biocefixim,بيوسفكسيم,cefixime,200 mg/5 mL,powder for oral suspension,60 mL,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=15256
Flavicef,فلافيسيف,cefixime,100 mg/5 mL,powder for oral suspension,60 mL,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=19113
Suprax,سوبراكس,cefixime,100 mg/5 mL,powder for oral suspension,30 mL,Sanofi,antibiotic,third-generation cephalosporin,bacterial infections,no,no,medium,
Orelox,اوريلوكس,cefpodoxime,100 mg,film-coated tablet,10 tablets,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=24243
Ceftriaxone-Sedico,سيفترياكسون سيديكو,ceftriaxone,1 g,injection,1 vial,Sedico,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=16065
Ceftriaxone-Sandoz,سيفترياكسون ساندوز,ceftriaxone,1 g,injection,1 vial,Sandoz,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=2287
Votriaxone,فوترياكسون,ceftriaxone,1 g,injection,1 vial,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=29602
Ceftriaxone-EVA,سيفترياكسون ايفا,ceftriaxone,1 g,injection,1 vial,EVA Pharma,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=32615
Xoraxon,زوراكسون,ceftriaxone,1 g,injection,1 vial,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=10
Cefotax,سيفوتاكس,cefotaxime,1 g,injection,1 vial,EIPICO,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=16038
Cefotax,سيفوتاكس,cefotaxime,2 g,injection,1 vial,,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/med.php?id=2260
Cefoperazone,سيفوبيرازون,cefoperazone,1 g,injection,1 vial,Rameda/Sigma,antibiotic,third-generation cephalosporin,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=10
Zithromax,زيثروماكس,azithromycin,500 mg,film-coated tablet,,Pfizer,antibiotic,macrolide,bacterial infections,no,no,medium,
Zithromax,زيثروماكس,azithromycin,200 mg/5 mL,powder for oral suspension,,Pfizer,antibiotic,macrolide,bacterial infections,no,no,medium,
Xithrone,زيثرون,azithromycin,500 mg,film-coated tablet,3 tablets,,antibiotic,macrolide,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=10
Zithrokan,زيثروكان,azithromycin,100 mg/5 mL,powder for oral suspension,15 mL,,antibiotic,macrolide,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=10
Klacid,كلاسيد,clarithromycin,500 mg,film-coated tablet,,Abbott,antibiotic,macrolide,bacterial infections,no,no,medium,
Klacid,كلاسيد,clarithromycin,250 mg,film-coated tablet,,Abbott,antibiotic,macrolide,bacterial infections,no,no,medium,
Erythrocin,اريثروسين,erythromycin,500 mg,film-coated tablet,,Abbott,antibiotic,macrolide,bacterial infections,no,no,medium,
Ciprobay,سيبروباي,ciprofloxacin,500 mg,film-coated tablet,,Bayer,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,
Ciprocin,سيبروسين,ciprofloxacin,500 mg,film-coated tablet,,EIPICO,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,https://www.cphi-online.com/product/ciprocin-ciprofloxacin/
Ciprocin,سيبروسين,ciprofloxacin,250 mg,film-coated tablet,,EIPICO,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,https://www.cphi-online.com/product/ciprocin-ciprofloxacin/
Ciprocin,سيبروسين,ciprofloxacin,750 mg,film-coated tablet,,EIPICO,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,https://www.cphi-online.com/product/ciprocin-ciprofloxacin/
Cipromax,سيبروماكس,ciprofloxacin,500 mg,film-coated tablet,,,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,
Mifoxin,ميفوكسين,ciprofloxacin,500 mg,film-coated tablet,,,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,
Rancif,رانسيف,ciprofloxacin,500 mg,film-coated tablet,,,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,
Ciprofar,سيبروفار,ciprofloxacin,500 mg,film-coated tablet,,,antibiotic,fluoroquinolone,bacterial infections,no,no,medium,
Ciprodiazole,سيبروديازول,ciprofloxacin;metronidazole,500/500 mg,film-coated tablet,20 tablets,Minapharm,antibiotic;antiparasitic,fluoroquinolone + nitroimidazole,mixed bacterial and anaerobic infections,no,no,high,https://dwaprices.com/ause.php?id=10
Tavanic,تافانيك,levofloxacin,500 mg,film-coated tablet,5 tablets,Sanofi,antibiotic,fluoroquinolone,bacterial infections,no,no,high,https://dwaprices.com/ause.php?id=10
