brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Prozac,بروزاك,fluoxetine,20 mg,capsule,14 capsules,Eli Lilly,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/med.php?id=25454
Philozac,فيلوزاك,fluoxetine,20 mg,capsule,30 capsules,,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/med.php?id=24887
Fluoxetine,فلوكسيتين,fluoxetine,20 mg,capsule,10 capsules,,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/med.php?id=5026
Lustral,لوستال,sertraline,50 mg,film-coated tablet,20 tablets,Pfizer,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Serlift,سيرليفت,sertraline,100 mg,film-coated tablet,10 tablets,EIPICO,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/med.php?id=26837
Serlift,سيرليفت,sertraline,50 mg,film-coated tablet,30 tablets,EIPICO,psychiatric,ssri antidepressant,depression and anxiety,no,no,medium,
Cipralex,سيبرالكس,escitalopram,10 mg,film-coated tablet,28 tablets,Lundbeck,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/med.php?id=16358
Cipralex,سيبرالكس,escitalopram,20 mg,film-coated tablet,28 tablets,Lundbeck,psychiatric,ssri antidepressant,depression and anxiety,no,no,medium,
Ciprapro,سيبرابرو,escitalopram,10 mg,film-coated tablet,30 tablets,,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Estikan,إستيكان,escitalopram,10 mg,tablet,14 tablets,,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Seroxat,سيروكسات,paroxetine,20 mg,film-coated tablet,30 tablets,GSK,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Seroxat CR,سيروكسات سي ار,paroxetine,12.5 mg,extended-release tablet,30 tablets,GSK,psychiatric,ssri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Faverin,فافيرين,fluvoxamine,50 mg,film-coated tablet,60 tablets,Abbott,psychiatric,ssri antidepressant,depression and obsessive-compulsive disorder,no,no,high,https://dwaprices.com/ause.php?id=50
Faverin,فافيرين,fluvoxamine,100 mg,film-coated tablet,30 tablets,Abbott,psychiatric,ssri antidepressant,depression and obsessive-compulsive disorder,no,no,high,https://dwaprices.com/ause.php?id=50
Efexor XR,ايفكسور اكس ار,venlafaxine,75 mg,extended-release capsule,14 capsules,Pfizer,psychiatric,snri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Efexor XR,ايفكسور اكس ار,venlafaxine,150 mg,extended-release capsule,14 capsules,Pfizer,psychiatric,snri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Effegad,ايفيجاد,venlafaxine,150 mg,extended-release capsule,28 capsules,,psychiatric,snri antidepressant,depression and anxiety,no,no,high,https://dwaprices.com/ause.php?id=50
Cymbalta,سيمبالتا,duloxetine,30 mg,extended-release capsule,28 capsules,Eli Lilly,psychiatric,snri antidepressant,depression and nerve pain,no,no,high,https://dwaprices.com/ause.php?id=50
Cymbalta,سيمبالتا,duloxetine,60 mg,extended-release capsule,28 capsules,Eli Lilly,psychiatric,snri antidepressant,depression and nerve pain,no,no,high,https://dwaprices.com/ause.php?id=50
Cymbatex,سيمباتكس,duloxetine,30 mg,extended-release capsule,30 capsules,,psychiatric,snri antidepressant,depression and nerve pain,no,no,high,https://dwaprices.com/ause.php?id=50
Duloxeprin,دولوكسبرين,duloxetine,30 mg,extended-release capsule,28 capsules,,psychiatric,snri antidepressant,depression and nerve pain,no,no,high,https://dwaprices.com/ause.php?id=50
Karbalta,كاربالتا,duloxetine,30 mg,extended-release capsule,28 capsules,,psychiatric,snri antidepressant,depression and nerve pain,no,no,high,https://dwaprices.com/ause.php?id=50
Tryptizol,تريبتيزول,amitriptyline,25 mg,film-coated tablet,30 tablets,,psychiatric,tricyclic antidepressant,depression and chronic pain,no,no,high,https://dwaprices.com/ause.php?id=50
Tryptizol,تريبتيزول,amitriptyline,10 mg,film-coated tablet,60 tablets,,psychiatric,tricyclic antidepressant,depression and chronic pain,no,no,high,https://dwaprices.com/ause.php?id=50
Tofranil,توفرانيل,imipramine,25 mg,tablet,50 tablets,Novartis,psychiatric,tricyclic antidepressant,depression and bedwetting,no,no,high,https://dwaprices.com/ause.php?id=50
Anafranil,انافرانيل,clomipramine,25 mg,tablet,30 tablets,Novartis,psychiatric,tricyclic antidepressant,depression and obsessive-compulsive disorder,no,no,high,https://dwaprices.com/ause.php?id=50
Anafranil SR,انافرانيل اس ار,clomipramine,75 mg,extended-release tablet,20 tablets,Novartis,psychiatric,tricyclic antidepressant,depression and obsessive-compulsive disorder,no,no,high,https://dwaprices.com/ause.php?id=50
Remeron,ريميرون,mirtazapine,30 mg,tablet,10 tablets,Organon,psychiatric,atypical antidepressant,depression,no,no,high,https://dwaprices.com/ause.php?id=50
Mirtimash,ميرتيماش,mirtazapine,30 mg,tablet,30 tablets,,psychiatric,atypical antidepressant,depression,no,no,high,https://dwaprices.com/ause.php?id=50
Trittico,تريتيكو,trazodone,50 mg,tablet,20 tablets,,psychiatric,atypical antidepressant,depression and insomnia,no,no,high,https://dwaprices.com/ause.php?id=50
Trittico,تريتيكو,trazodone,100 mg,tablet,20 tablets,,psychiatric,atypical antidepressant,depression and insomnia,no,no,high,https://dwaprices.com/ause.php?id=50
Agovald,اجوفالد,agomelatine,25 mg,film-coated tablet,21 tablets,,psychiatric,melatonergic antidepressant,depression,no,no,high,https://dwaprices.com/ause.php?id=50
Valdoxan,فالدوكسان,agomelatine,25 mg,film-coated tablet,28 tablets,Servier,psychiatric,melatonergic antidepressant,depression,no,no,medium,
Haldol,هالدول,haloperidol,5 mg,tablet,,Janssen,psychiatric,typical antipsychotic,schizophrenia and severe agitation,no,no,high,https://dwaprices.com/ause.php?id=16
Halonace,هالوناس,haloperidol,5 mg,tablet,10 tablets,,psychiatric,typical antipsychotic,schizophrenia and severe agitation,no,no,high,https://dwaprices.com/ause.php?id=16
Haldol Decanoate,هالدول ديكانوات,haloperidol decanoate,50 mg/mL,injection,1 ampoule,Janssen,psychiatric,typical antipsychotic (long-acting),schizophrenia maintenance,no,no,high,https://dwaprices.com/ause.php?id=16
Zyprexa,زيبريكسا,olanzapine,5 mg,film-coated tablet,28 tablets,Eli Lilly,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=12960
Zyprexa,زيبريكسا,olanzapine,10 mg,film-coated tablet,28 tablets,Eli Lilly,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=12959
Zyprexa Velotab,زيبريكسا فيلوتاب,olanzapine,10 mg,orally disintegrating tablet,28 tablets,Eli Lilly,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=12958
Olapex,اولابكس,olanzapine,5 mg,film-coated tablet,30 tablets,,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/ause.php?id=16
Olapex,اولابكس,olanzapine,10 mg,film-coated tablet,30 tablets,,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/ause.php?id=16
Risperdal,ريسبيردال,risperidone,2 mg,film-coated tablet,20 tablets,Janssen,psychiatric,atypical antipsychotic,schizophrenia and mood disorders,no,no,high,https://dwaprices.com/med.php?id=9899
Risperdal,ريسبيردال,risperidone,4 mg,tablet,20 tablets,Janssen,psychiatric,atypical antipsychotic,schizophrenia and mood disorders,no,no,high,https://dwaprices.com/med.php?id=9902
Risperdal Consta,ريسبيردال كونستا,risperidone,25 mg,injection,1 vial,Janssen,psychiatric,atypical antipsychotic (long-acting),schizophrenia maintenance,yes,no,high,https://dwaprices.com/med.php?id=26182
Risperdal Consta,ريسبيردال كونستا,risperidone,37.5 mg,injection,1 vial,Janssen,psychiatric,atypical antipsychotic (long-acting),schizophrenia maintenance,yes,no,high,https://dwaprices.com/med.php?id=26182
Risdal,ريسدال,risperidone,1 mg/mL,oral solution,30 mL,,psychiatric,atypical antipsychotic,schizophrenia and mood disorders,no,no,high,https://dwaprices.com/med.php?id=26162
Seroquel,سيروكويل,quetiapine,25 mg,tablet,10 tablets,AstraZeneca,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=10363
Seroquel,سيروكويل,quetiapine,100 mg,tablet,10 tablets,AstraZeneca,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=10359
Seroquel,سيروكويل,quetiapine,200 mg,tablet,30 tablets,AstraZeneca,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/med.php?id=10361
Quitapex,كيوتابكس,quetiapine,25 mg,film-coated tablet,30 tablets,,psychiatric,atypical antipsychotic,schizophrenia and bipolar disorder,no,no,high,https://dwaprices.com/ause.php?id=16
