brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Panadol,بانادول,paracetamol,500 mg,tablet,24 tablets,GSK,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,medium,
Panadol Extra,بانادول اكسترا,paracetamol;caffeine,500/65 mg,tablet,24 tablets,GSK,analgesic,paracetamol analgesic + caffeine,stronger pain relief with caffeine,no,no,high,https://tdawi.com/en_eg/medicines/panadol-extra-24-tablets
Cetal,سيتال,paracetamol,500 mg,tablet,20 tablets,EIPICO,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=876
Cetal,سيتال,paracetamol,120 mg,suppository,5 suppositories,EIPICO,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=1921
Abimol,أبيمول,paracetamol,500 mg,tablet,20 tablets,,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=2212
Abimol,أبيمول,paracetamol,300 mg,suppository,5 suppositories,,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=1917
Abimol Extra,أبيمول اكسترا,paracetamol;caffeine,500/30 mg,tablet,20 tablets,,analgesic,paracetamol analgesic + caffeine,stronger pain relief with caffeine,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=3600
Paramol,بارامول,paracetamol,500 mg,tablet,20 tablets,,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=5369
Adol,أدول,paracetamol,500 mg,tablet,24 tablets,,analgesic,paracetamol analgesic,pain relief and fever reduction,no,no,medium,
Cataflam,كتافلام,diclofenac potassium,25 mg,film-coated tablet,20 tablets,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://egyptiandrugstore.com/index.php?product_id=1670&route=product%2Fproduct
Cataflam,كتافلام,diclofenac potassium,50 mg,film-coated tablet,20 tablets,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://www.bloompharmacy.com/products/cataflam-50-mg-20-tablets
Catafast,كتافاست,diclofenac potassium,50 mg,sachet,9 sachets,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),fast-acting pain and inflammation relief,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=1422
Voltaren,فولتارين,diclofenac sodium,75 mg/3 mL,injection,6 ampoules,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://www.pro.novartis.com/eg-en/products/pain-inflammation/orthopedic-specialty/voltarenr-75mg3ml-ampoules
Voltaren,فولتارين,diclofenac sodium,12.5 mg,suppository,,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://medicarcp.com/en/products/details/Voltaren%20Suppositories%2012.5mg
Voltaren,فولتارين,diclofenac sodium,100 mg,suppository,10 suppositories,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=1908
Voltaren SR,فولتارين اس آر,diclofenac sodium,75 mg,extended-release tablet,10 tablets,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://www.noon.com/egypt-en/voltaren-sr-75mg-tablets-10-s/Z5BE23769497CF10AC15AZ/p/
Voltaren SR,فولتارين اس آر,diclofenac sodium,100 mg,extended-release tablet,20 tablets,Novartis,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://egyptiandrugstore.com/index.php?product_id=4023&route=product%2Fproduct
Voltaren Emulgel,فولتارين إيمولجيل,diclofenac diethylamine,1%,gel,100 g,Novartis,anti-inflammatory;musculoskeletal,topical nsaid,topical pain and inflammation relief,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=2086
Olfen,أولفين,diclofenac sodium,75 mg/2 mL,injection,6 ampoules,,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,https://www.vezeeta.com/en-eg/pharmacy/olfen-75-mg-2-ml-6-ampoule
Olfen,أولفين,diclofenac diethylamine,1%,gel,50 g,,anti-inflammatory;musculoskeletal,topical nsaid,topical pain and inflammation relief,no,no,high,https://dwaprices.com/med.php?id=9194
Declophen,ديكلوفين,diclofenac sodium,25 mg,tablet,20 tablets,,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,http://egyptiandrugstore.com/index.php?route=product%2Fproduct&product_id=3714
Declophen,ديكلوفين,diclofenac sodium,50 mg,tablet,20 tablets,,analgesic;anti-inflammatory,nonsteroidal anti-inflammatory drug (nsaid),pain and inflammation relief,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=1914
