brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Tobrex,توبريكس,tobramycin,0.3%,eye drops,5 mL,Alcon,ophthalmic;antibiotic,aminoglycoside antibiotic,bacterial eye infection,no,no,high,https://tdawi.com/en_eg/medicines/tobrex-0-3-eye-drops-5-ml
Tobrex,توبريكس,tobramycin,0.3%,eye ointment,3.5 g,Alcon,ophthalmic;antibiotic,aminoglycoside antibiotic,bacterial eye infection,no,no,medium,
Garamycin,جاراميسين,gentamicin,0.3%,eye drops,5 mL,,ophthalmic;antibiotic,aminoglycoside antibiotic,bacterial eye infection,no,no,medium,
Ciloxan,سيلوكسان,ciprofloxacin,0.3%,eye drops,5 mL,Alcon,ophthalmic;antibiotic,fluoroquinolone antibiotic,bacterial eye infection,no,no,medium,
Ciloxan,سيلوكسان,ciprofloxacin,0.3%,eye ointment,3.5 g,Alcon,ophthalmic;antibiotic,fluoroquinolone antibiotic,bacterial eye infection,no,no,medium,
Vigamox,فيجاموكس,moxifloxacin,0.5%,eye drops,5 mL,Alcon,ophthalmic;antibiotic,fluoroquinolone antibiotic,bacterial eye infection,no,no,high,https://tdawi.com/en_eg/vigamox-eye-drops-5-ml
Fucithalmic,فيوسيثالميك,fusidic acid,1%,eye drops,5 g,Leo Pharma,ophthalmic;antibiotic,fusidane antibiotic,bacterial eye infection,no,no,medium,
Kemicetine,كيميستين,chloramphenicol,0.5%,eye drops,10 mL,,ophthalmic;antibiotic,broad-spectrum antibiotic,bacterial eye infection,no,no,medium,
Tobradex,توبرادكس,tobramycin;dexamethasone,0.3%/0.1%,eye drops,5 mL,Alcon,ophthalmic;corticosteroid;antibiotic,antibiotic + corticosteroid combination,eye inflammation with infection,no,no,high,https://tdawi.com/en_eg/tobradex-eye-drops-5-ml
Tobradex,توبرادكس,tobramycin;dexamethasone,0.3%/0.1%,eye ointment,3.5 g,Alcon,ophthalmic;corticosteroid;antibiotic,antibiotic + corticosteroid combination,eye inflammation with infection,no,no,high,https://tdawi.com/en_eg/tobradex-eye-ointment-3-5-gm
Maxitrol,ماكسيترول,dexamethasone;neomycin;polymyxin b,0.1%/0.35%/6000 IU/mL,eye drops,5 mL,Alcon,ophthalmic;corticosteroid;antibiotic,antibiotic + corticosteroid combination,eye inflammation with infection,no,no,medium,
Maxitrol,ماكسيترول,dexamethasone;neomycin;polymyxin b,0.1%/0.35%/6000 IU/g,eye ointment,3.5 g,Alcon,ophthalmic;corticosteroid;antibiotic,antibiotic + corticosteroid combination,eye inflammation with infection,no,no,medium,
Pred Forte,بريد فورت,prednisolone acetate,1%,eye drops,5 mL,Allergan,ophthalmic;corticosteroid,corticosteroid,eye inflammation,no,no,medium,
FML,اف ام ال,fluorometholone,0.1%,eye drops,5 mL,Allergan,ophthalmic;corticosteroid,corticosteroid,eye inflammation,no,no,medium,
Timoptic,تيموبتيك,timolol,0.5%,eye drops,5 mL,MSD,ophthalmic,beta-blocker,glaucoma eye pressure,no,no,medium,
Timolol,تيمولول,timolol,0.5%,eye drops,5 mL,EIPICO,ophthalmic,beta-blocker,glaucoma eye pressure,no,no,high,https://tdawi.com/en_eg/timolol-0-5-eye-drops-5ml
Xalatan,زالاتان,latanoprost,0.005%,eye drops,2.5 mL,Pfizer,ophthalmic,prostaglandin analogue,glaucoma eye pressure,yes,no,medium,
Travatan,ترافاتان,travoprost,0.004%,eye drops,2.5 mL,Alcon,ophthalmic,prostaglandin analogue,glaucoma eye pressure,no,no,medium,
Lumigan,لوميجان,bimatoprost,0.03%,eye drops,3 mL,Allergan,ophthalmic,prostaglandin analogue,glaucoma eye pressure,no,no,medium,
Cosopt,كوسوبت,dorzolamide;timolol,2%/0.5%,eye drops,5 mL,MSD,ophthalmic,carbonic anhydrase inhibitor + beta-blocker,glaucoma eye pressure,no,no,high,https://tdawi.com/en_eg/cosopt-eye-drops-5-ml
Alphagan,الفاجان,brimonidine,0.2%,eye drops,5 mL,Allergan,ophthalmic,alpha-2 agonist,glaucoma eye pressure,no,no,medium,
Azopt,ازوبت,brinzolamide,1%,eye drops,5 mL,Alcon,ophthalmic,carbonic anhydrase inhibitor,glaucoma eye pressure,no,no,medium,
Xalacom,زالاكوم,latanoprost;timolol,0.005%/0.5%,eye drops,2.5 mL,Pfizer,ophthalmic,prostaglandin analogue + beta-blocker,glaucoma eye pressure,yes,no,medium,
