brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Omnic,أومنيك,tamsulosin,0.4 mg,capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Omnic Ocas,أومنيك أوكاس,tamsulosin,0.4 mg,extended-release tablet,30 tablets,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Tamsulin,تامسولين,tamsulosin,0.4 mg,capsule,28 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Tamsol,تامسول,tamsulosin,0.4 mg,capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Blocker Alpha,بلوكر ألفا,tamsulosin,0.4 mg,capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Tamsonorm SR,تامسونورم اس آر,tamsulosin,0.4 mg,extended-release capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/similars.php?id=11161
Curepro XR,كيوربرو اكس آر,tamsulosin,0.4 mg,extended-release capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/med.php?id=11162
Kemprost,كيمبروست,tamsulosin,0.4 mg,capsule,20 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/med.php?id=11162
Losiprost,لوزيبروست,tamsulosin,0.4 mg,capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/med.php?id=11162
Magitamsulosin,ماجيتامسولوسين,tamsulosin,0.4 mg,extended-release capsule,30 capsules,,urology,alpha-1 blocker,enlarged prostate,no,no,high,https://dwaprices.com/med.php?id=11162
Xatral XL,زاترال اكس ال,alfuzosin,10 mg,extended-release tablet,30 tablets,Sanofi,urology,alpha-1 blocker,enlarged prostate,no,no,high,http://egyptiandrugstore.com/index.php?route=product/product&product_id=1947
Avodart,أفودارت,dutasteride,0.5 mg,capsule,30 capsules,GlaxoSmithKline,urology,5-alpha reductase inhibitor,shrinks enlarged prostate,no,no,high,https://dwaprices.com/med.php?id=14774
Duserex,ديوسيريكس,dutasteride,0.5 mg,capsule,30 capsules,,urology,5-alpha reductase inhibitor,shrinks enlarged prostate,no,no,high,https://en.egyptdwa.com/s/2591
Dusta,دوستا,dutasteride,0.5 mg,capsule,30 capsules,,urology,5-alpha reductase inhibitor,shrinks enlarged prostate,no,no,high,https://en.egyptdwa.com/s/2591
