brand_en,brand_ar,ingredients,strength,form,pack_size,manufacturer,categories,drug_class,use_en,fridge,controlled,confidence,source
Betnovate,بيتنوفيت,betamethasone,0.1%,cream,15 g,GSK,dermatology;corticosteroid,topical corticosteroid,eczema and skin inflammation,no,no,high,https://dwaprices.com/med.php?id=1474
Betnovate-N,بيتنوفيت إن,betamethasone;neomycin,0.1%/0.5%,cream,30 g,GSK,dermatology;corticosteroid;antibiotic,corticosteroid + antibiotic,infected eczema,no,no,high,https://en.egyptdwa.com/m/2488
Betnovate-C,بيتنوفيت سي,betamethasone;clioquinol,0.1%/3%,cream,15 g,GSK,dermatology;corticosteroid;antifungal,corticosteroid + antiseptic,infected eczema,no,no,high,https://dwaprices.com/med.php?id=1478
Diprosone,ديبروزون,betamethasone,0.05%,cream,30 g,MSD,dermatology;corticosteroid,potent topical corticosteroid,eczema and psoriasis,no,no,high,https://russkaya-apteka.com/en/products/diprozon-krem-005-30-g
Diprosone,ديبروزون,betamethasone,0.05%,ointment,10 g,MSD,dermatology;corticosteroid,potent topical corticosteroid,eczema and psoriasis,no,no,high,https://www.bloompharmacy.com/collections/corticosteroids
Diprosalic,ديبروساليك,betamethasone;salicylic acid,0.05%/3%,ointment,15 g,MSD,dermatology;corticosteroid,corticosteroid + keratolytic,psoriasis and thick scaly skin,no,no,high,https://egyptiandrugstore.com/index.php?product_id=3731&route=product%2Fproduct
Diprosalic,ديبروساليك,betamethasone;salicylic acid,0.05%/2%,lotion,30 mL,MSD,dermatology;corticosteroid,corticosteroid + keratolytic,scalp psoriasis,no,no,high,https://dwaprices.com/med.php?id=3733
Dermovate,درموفيت,clobetasol,0.05%,cream,25 g,GSK,dermatology;corticosteroid,potent topical corticosteroid,severe eczema and psoriasis,no,no,high,https://dwaprices.com/med.php?id=3502
Dermovate,درموفيت,clobetasol,0.05%,ointment,25 g,GSK,dermatology;corticosteroid,potent topical corticosteroid,severe eczema and psoriasis,no,no,high,https://tdawi.com/en_eg/catalogsearch/result/?q=clobetasol
Clerovate,كليروفات,clobetasol,0.05%,cream,25 g,,dermatology;corticosteroid,potent topical corticosteroid,severe eczema and psoriasis,no,no,high,https://dwaprices.com/med.php?id=2749
Clovacort,كلوفاكورت,clobetasol,0.05%,ointment,20 g,,dermatology;corticosteroid,potent topical corticosteroid,severe eczema and psoriasis,no,no,high,https://dwaprices.com/med.php?id=2721
